© Data Science Training by Kirill Eremenko,,,,,,,,,,,,,,,,
Stats,,,,,,,,,,Confusion Matrix,,,,,Predicted,
Total Exited:,2037,,,,,,,,,Threshold:,0.5,,,,0,1
Total Records:,10000,,,,,,,,,,,,Actual,0,7687,276
Percent Exited:,20.4%,,,,,,,,,,,,,1,1597,440
,,,,,,,,,,,,,,,,
RowNumber,Exited,P_Hat,TotalRecords,Total,RandomSelect,RandomSelectPercentOfTotalChurners,ModelSelect,ModelSelectPercentOfTotalChurners, ,,,,,,,
4816,0,0.930669387,1,0.0%,0.2037,0.0%,0,0.0%,,,,,,,,
3532,1,0.928310811,2,0.0%,0.4074,0.0%,1,0.0%,,,,,,,,
9588,0,0.923302971,3,0.0%,0.6111,0.0%,1,0.0%,,,,,,,,
7500,1,0.906178289,4,0.0%,0.8148,0.0%,2,0.1%,,,,,,,,
9556,1,0.90445727,5,0.1%,1.0185,0.1%,3,0.1%,,,,,,,,
8489,1,0.892241568,6,0.1%,1.2222,0.1%,4,0.2%,,,,,,,,
7630,1,0.882858638,7,0.1%,1.4259,0.1%,5,0.2%,,,,,,,,
7693,0,0.876196717,8,0.1%,1.6296,0.1%,5,0.2%,,,,,,,,
9748,1,0.874290461,9,0.1%,1.8333,0.1%,6,0.3%,,,,,,,,
4464,1,0.871828191,10,0.1%,2.037,0.1%,7,0.3%,,,,,,,,
7009,1,0.861914645,11,0.1%,2.2407,0.1%,8,0.4%,,,,,,,,
8157,0,0.859745117,12,0.1%,2.4444,0.1%,8,0.4%,,,,,,,,
4436,1,0.857004906,13,0.1%,2.6481,0.1%,9,0.4%,,,,,,,,
7814,1,0.842061584,14,0.1%,2.8518,0.1%,10,0.5%,,,,,,,,
4560,1,0.839912351,15,0.2%,3.0555,0.2%,11,0.5%,,,,,,,,
417,1,0.837359566,16,0.2%,3.2592,0.2%,12,0.6%,,,,,,,,
3388,0,0.834867063,17,0.2%,3.4629,0.2%,12,0.6%,,,,,,,,
4752,1,0.832187654,18,0.2%,3.6666,0.2%,13,0.6%,,,,,,,,
4502,0,0.830751603,19,0.2%,3.8703,0.2%,13,0.6%,,,,,,,,
618,1,0.830145633,20,0.2%,4.074,0.2%,14,0.7%,,,,,,,,
4564,1,0.826519394,21,0.2%,4.2777,0.2%,15,0.7%,,,,,,,,
8189,0,0.821812646,22,0.2%,4.4814,0.2%,15,0.7%,,,,,,,,
9293,0,0.818944397,23,0.2%,4.6851,0.2%,15,0.7%,,,,,,,,
9333,1,0.818496449,24,0.2%,4.8888,0.2%,16,0.8%,,,,,,,,
6531,0,0.817436017,25,0.3%,5.0925,0.3%,16,0.8%,,,,,,,,
9310,0,0.816555379,26,0.3%,5.2962,0.3%,16,0.8%,,,,,,,,
4397,0,0.815313365,27,0.3%,5.4999,0.3%,16,0.8%,,,,,,,,
2474,1,0.812672309,28,0.3%,5.7036,0.3%,17,0.8%,,,,,,,,
3367,0,0.810541414,29,0.3%,5.9073,0.3%,17,0.8%,,,,,,,,
372,0,0.809108014,30,0.3%,6.111,0.3%,17,0.8%,,,,,,,,
7852,1,0.805715458,31,0.3%,6.3147,0.3%,18,0.9%,,,,,,,,
9603,1,0.805602921,32,0.3%,6.5184,0.3%,19,0.9%,,,,,,,,
421,1,0.804985191,33,0.3%,6.7221,0.3%,20,1.0%,,,,,,,,
5440,0,0.804734744,34,0.3%,6.9258,0.3%,20,1.0%,,,,,,,,
4319,0,0.804473578,35,0.4%,7.1295,0.4%,20,1.0%,,,,,,,,
2778,1,0.804083232,36,0.4%,7.3332,0.4%,21,1.0%,,,,,,,,
9473,0,0.802797792,37,0.4%,7.5369,0.4%,21,1.0%,,,,,,,,
6444,0,0.801556754,38,0.4%,7.7406,0.4%,21,1.0%,,,,,,,,
3911,1,0.799821352,39,0.4%,7.9443,0.4%,22,1.1%,,,,,,,,
5577,1,0.797009668,40,0.4%,8.148,0.4%,23,1.1%,,,,,,,,
5005,1,0.796928292,41,0.4%,8.3517,0.4%,24,1.2%,,,,,,,,
6760,0,0.796780029,42,0.4%,8.5554,0.4%,24,1.2%,,,,,,,,
314,0,0.796347335,43,0.4%,8.7591,0.4%,24,1.2%,,,,,,,,
2191,1,0.79515389,44,0.4%,8.9628,0.4%,25,1.2%,,,,,,,,
3992,1,0.794944022,45,0.5%,9.1665,0.5%,26,1.3%,,,,,,,,
